,player_id,last_name,first_name,country,current_elo,last_tourney_date,matches_played,peak_elo,peak_elo_date
0,player_id,name_first,name_last,ioc,1500.0,N/A,0,1500.0,N/A
1,100644,Alexander,Zverev,GER,1630.519562955277,20231113,77,1767.1019534141012,20211101
2,104527,Stan,Wawrinka,SUI,1443.809281790025,20230828,37,1739.56220174376,20190812
3,105550,Guido,Pella,ARG,1274.7160498744047,20230724,17,1627.0977204457752,20190506
4,105777,Grigor,Dimitrov,BUL,1560.7700750560236,20231030,59,1624.376645409862,20180212
5,106421,Daniil,Medvedev,RUS,1710.6063257136343,20231113,79,1813.625294188783,20230927
6,111153,Christopher,Eubanks,USA,1269.3290105073124,20230703,8,1500.0,N/A
7,111513,Laslo,Djere,SRB,1372.8540620226886,20230916,35,1569.7500274556746,20201012
8,122330,Alexander,Bublik,KAZ,1483.0321292835313,20231030,46,1563.1354169950025,20210628
9,123755,Daniel Elahi,Galan,COL,1164.6334959224557,20230703,11,1500.0,N/A
10,126094,Andrey,Rublev,RUS,1571.4954608333626,20231113,62,1667.5977048818925,20220829
11,126128,Roman,Safiullin,RUS,1543.6637830762927,20231030,12,1543.6637830762927,20231030
12,126207,Frances,Tiafoe,USA,1418.0129238407146,20231030,51,1615.306426646831,20180730
13,128034,Hubert,Hurkacz,POL,1600.8100816270887,20231030,53,1666.9191291555735,20211004
14,133430,Denis,Shapovalov,CAN,1467.198055550125,20230703,45,1630.4566105734007,20200106
15,200221,Alejandro,Davidovich Fokina,ESP,1402.4970020891851,20230927,29,1561.532518502191,20200831
16,206173,Jannik,Sinner,ITA,1764.9497779189662,20231113,63,1764.9497779189662,20231113
17,207518,Lorenzo,Musetti,ITA,1313.6327769268005,20231030,36,1538.3346759110125,20210510
18,207989,Carlos,Alcaraz,ESP,1683.2283219320325,20231113,37,1839.821982824198,20230828
19,208103,Jiri,Lehecka,CZE,1589.0432299283302,20230916,19,1647.2497496157314,20230220
